"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@kugirl25 Pride in your team, you cant replace the feeling. My baseball team made 36 trades and lost every star, bu… https://t.co/QGBl6YoD86",FALSE,1,"kugirl25",2019-04-18 23:59:57,TRUE,"1119026851958218752","1119027820124983297","454310017","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FirstPlace90",0,FALSE,FALSE,NA,NA
"2","Nice few days here at First Landing State Park @VAStateParks. History, nature, and baseball! https://t.co/FERn5iJjRi",FALSE,0,NA,2019-04-18 23:59:57,FALSE,NA,"1119027819835797511",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrsgateway",0,FALSE,FALSE,NA,NA
"3","About to start 5-5A baseball Mansfield Legacy at Centennial",FALSE,1,NA,2019-04-18 23:59:55,FALSE,NA,"1119027813254823936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BurlStarSports",0,FALSE,FALSE,NA,NA
"5","Herkimer win 5-3 then game two called with darkness during a 10-10 tied game. Generals are off until next Tuesday a… https://t.co/CfHY8Nzi4o",FALSE,16,NA,2019-04-18 23:59:52,TRUE,NA,"1119027798495121410",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Herk_Baseball",1,FALSE,FALSE,NA,NA
"6","@markgrotesports with all due respect, talk to parkins about his royals yrs when they were good.  They would bat fl… https://t.co/43BBxI2M6v",FALSE,0,"markgrotesports",2019-04-18 23:59:51,TRUE,NA,"1119027796439912448","284245418","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickTS4",0,FALSE,FALSE,NA,NA
"8","Tune into the Miracle Broadcast network to hear live from @TylerW13 as he speaks with @MarshallKelner during tonigh… https://t.co/MIruR4JqjF",FALSE,8,NA,2019-04-18 23:59:50,TRUE,NA,"1119027790781788161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiracleBaseball",2,FALSE,FALSE,NA,NA
"9","@awlsabermetrics @BB_Ben29 @MLBRandomStats I'm understanding that Stanton was hit and lost a half season. Judge was… https://t.co/0h7tdgMdSH",FALSE,1,"awlsabermetrics",2019-04-18 23:59:50,TRUE,"1119026902692442112","1119027789498408961","935689895254913025","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShekBo",0,FALSE,FALSE,NA,NA
"11","A beautiful night for some Petrides baseball at Staten Island Yankee Stadium! Go Panthers! <U+26BE><U+FE0F> #PetridesProud… https://t.co/U3RUV2UiWk",FALSE,6,NA,2019-04-18 23:59:49,TRUE,NA,"1119027784888745987",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PetridesSchool",0,FALSE,FALSE,NA,NA
"12","We loved spending our afternoon outside with @MrsRun_SCE class playing some multiplication baseball and around the… https://t.co/wXUVr5U7EU",FALSE,4,NA,2019-04-18 23:59:48,TRUE,NA,"1119027783315988480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsMartin_SCE",1,FALSE,FALSE,NA,NA
"14","Time for some baseball practice. They got their hats tonight. Go Mudcats! https://t.co/rQhqLSmeOu https://t.co/4TUEprygar",FALSE,0,NA,2019-04-18 23:59:47,FALSE,NA,"1119027779390050305",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GeekAaron",0,FALSE,FALSE,NA,NA
