"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Vol_Tennis @AdamWalton99 Love the gator chomp!!! Let’s go Vols <U+0001F4AA><U+0001F3FC>",FALSE,11,"Vol_Tennis",2019-04-20 23:59:58,FALSE,"1119728109232840704","1119752600130412545","89112985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RhyneWilliams",0,FALSE,FALSE,NA,NA
"8","Girls tennis results, 4/20 https://t.co/M6RTZfpz06 #nebpreps",FALSE,0,NA,2019-04-20 23:59:25,FALSE,NA,"1119752461881946113",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PrepExtra",0,FALSE,FALSE,NA,NA
"10","Combining Tennis and Yoga <U+0001F9D8><U+200D><U+2640><U+FE0F> #eZENtialYoga @Camilleezentia1 https://t.co/xm9VJAEiLK",FALSE,0,NA,2019-04-20 23:59:23,FALSE,NA,"1119752454760013824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Camilleezentia1",0,FALSE,FALSE,NA,NA
"11","AOLIKES 1PCS 2019 Knee Support Professional Protective Sports Knee Pad Breathable Bandage Knee Brace Basketball Ten… https://t.co/KiB4bi8djw",FALSE,0,NA,2019-04-20 23:59:22,TRUE,NA,"1119752450959974401",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","raipxu",0,FALSE,FALSE,NA,NA
"13","Divorce the man from the tennis for a moment. 

If your first match was watching Fognini when he is “on” you’d be r… https://t.co/Yb4lFjFeeU",FALSE,1,NA,2019-04-20 23:59:13,TRUE,NA,"1119752410027708416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bestof5forever",1,FALSE,FALSE,NA,NA
"15","RECAP | COLONIALS WIN! A sweeping W to finish out the regular season. Postseason seed announced Tuesday.

<U+0001F4F0>:… https://t.co/LZjL6hs2jV",FALSE,9,NA,2019-04-20 23:59:10,TRUE,NA,"1119752400565415936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GWMensTennis",0,FALSE,FALSE,NA,NA
"16","@NathanFillion Been a nightmare with insurance and they won’t cover. So I’m asking for funds to get that covered at… https://t.co/L3PziJqUBI",FALSE,0,"MetaSkyKite",2019-04-20 23:59:10,TRUE,"1119752095639506945","1119752396631171072","1572806438","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetaSkyKite",0,FALSE,FALSE,NA,NA
"17","CHAMPIONSHIP CENTRAL

Today in the Big 12 Women's Championships 3-seed Kansas upset 2-seed Oklahoma State to advanc… https://t.co/zbRbvMf0uM",FALSE,0,NA,2019-04-20 23:58:54,TRUE,NA,"1119752333288669184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","slam10s",0,FALSE,FALSE,NA,NA
"18","if sigmund freud was a real psychologist he’d be able to explain my dog’s oral fixation of tennis balls",FALSE,4,NA,2019-04-20 23:58:54,FALSE,NA,"1119752331107631109",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamieeierm",0,FALSE,FALSE,NA,NA
"19","@NotStanCotten @BloggerSoDear <U+2705> football
<U+2705> basketball
<U+2705> baseball
<U+2705> men’s and women’s soccer
<U+2705> men’s and women’s golf
<U+2705> men’s tennis",FALSE,17,"NotStanCotten",2019-04-20 23:58:45,FALSE,"1119751268514377729","1119752293237309445","2308886533","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wexsam1",2,FALSE,FALSE,NA,NA
